244,de,Netzwerk & Konnektivität,Wie aktiviere oder deaktiviere ich Mobilfunkbänder auf FuriOS?,"Bänder aktivieren, Bänder deaktivieren, Mobilfunkbänder","Gehen Sie zu Einstellungen > Mobiles Netzwerk > Enabled Bands, wählen Sie dann den Bandtyp aus, den Sie umschalten möchten (2G, 3G, 4G, usw.) und aktivieren oder deaktivieren Sie ihn.",yes
245,de,Netzwerk & Konnektivität,Wie schalte ich WLAN aus oder ein?,WLAN,Es gibt zwei Möglichkeiten. Die erste und einfachste ist: Von oben des Bildschirms nach unten wischen um die Quick Settings anzuzeigen und auf das WLAN tippen um es aus- oder einzuschalten. Die Farbe ändert sich zu grau/orange. Die zweite Möglichkeit ist: Gehen Sie zu Einstellungen > WLAN und schalten Sie WLAN an/aus.,yes
246,de,Einstellungen,Wie öffne ich die Einstellungs-App auf FuriOS?,"Einstellungen, Einstellungen öffnen, auf Einstellungen zugreifen","Sie können Einstellungen öffnen, indem Sie auf das Einstellungssymbol in Ihrer App-Liste tippen oder von oben des Bildschirms nach unten wischen um das Quick Settings Panel zu öffnen und auf das Zahnradsymbol unten rechts tippen.",yes
247,de,Netzwerk & Konnektivität,Wie verbinde ich mich mit einem WLAN-Netzwerk auf FuriOS?,"WLAN verbinden, WLAN beitreten, WLAN-Netzwerk",Gehen Sie zu Einstellungen > WLAN. Stellen Sie sicher dass WLAN aktiviert ist (Schalter an). Verfügbare Netzwerke werden unter Sichtbare Netzwerke angezeigt. Tippen Sie auf das Netzwerk das Sie verbinden möchten und geben Sie das Passwort ein falls erforderlich.,yes
248,de,Netzwerk & Konnektivität,Wie zeige ich meine gespeicherten WLAN-Netzwerke an?,"gespeichertes WLAN, gespeicherte Netzwerke, erinnertes WLAN",Gehen Sie zu Einstellungen > WLAN und tippen Sie auf Gespeicherte Netzwerke. Ein Popup wird angezeigt das alle zuvor verbundenen WLAN-Netzwerke zeigt. Von hier aus können Sie Ihre gespeicherten Verbindungen anzeigen und verwalten.,yes
249,de,Netzwerk & Konnektivität,Wie vergesse oder entferne ich ein gespeichertes WLAN-Netzwerk?,"WLAN vergessen, WLAN entfernen, gespeichertes Netzwerk löschen","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf das verbundene oder gespeicherte Netzwerk um seine Details zu öffnen, scrollen Sie nach unten und tippen Sie auf die Mülltonne... um es aus Ihren gespeicherten Netzwerken zu entfernen.",yes
250,de,Netzwerk & Konnektivität,Wie verbinde ich mich mit einem versteckten WLAN-Netzwerk?,"verstecktes WLAN, verstecktes Netzwerk, unsichtbares WLAN","Gehen Sie zu Einstellungen > WLAN und tippen Sie auf Mit verborgenem Funknetzwerk verbinden.... Im Popup wählen Sie Ihren WLAN-Adapter aus, geben Sie den Netzwerknamen ein, wählen Sie den WLAN-Sicherheitstyp (Keine, WPA, WPA2 usw.), geben Sie das Passwort ein falls erforderlich und tippen Sie auf Verbinden.",yes
251,de,Netzwerk & Konnektivität,Wie schalte ich WLAN-Hotspot auf FuriOS ein?,"WLAN-Hotspot, Hotspot, Tethering, Internet teilen, mobiler Hotspot",Gehen Sie zu Einstellungen > WLAN und tippen Sie auf WLAN-Hotspot einschalten.... Ein Popup wird angezeigt wo Sie den Netzwerknamen (Standard: furiphoneflx1s) und das Passwort einstellen können. Tippen Sie auf Einschalten um den Hotspot zu aktivieren. Andere können sich dann verbinden um Ihr Internet zu teilen.,yes
252,de,Netzwerk & Konnektivität,Wie ändere ich meinen WLAN-Hotspot-Namen und Passwort?,"Hotspot-Name, Hotspot-Passwort, Hotspot ändern",Gehen Sie zu Einstellungen > WLAN und tippen Sie auf WLAN-Hotspot einschalten.... Im Konfigurationspopup können Sie die Felder Netzwerkname und Passwort bearbeiten bevor Sie den Hotspot einschalten.,yes
253,de,Netzwerk & Konnektivität,Wie schalte ich WLAN-Hotspot aus?,"Hotspot ausschalten, Hotspot deaktivieren, Hotspot stoppen","Wenn der Hotspot aktiv ist, gehen Sie zu Einstellungen > WLAN. Sie sehen den Text ""WLAN-Hotspot aktiv"" mit einem QR-Code. Tippen Sie auf WLAN-Hotspot ausschalten... um ihn zu deaktivieren und zum normalen WLAN-Modus zurückzukehren.",yes
254,de,Netzwerk & Konnektivität,Wie verbinden sich andere mit meinem WLAN-Hotspot?,"mit Hotspot verbinden, zum Hotspot beitreten, QR-Code Hotspot scannen",Wenn Ihr Hotspot aktiv ist wird ein QR-Code auf dem Bildschirm Einstellungen > WLAN angezeigt. Andere Geräte können diesen QR-Code scannen um sich automatisch zu verbinden oder können den Hotspot-Namen manuell suchen und das Passwort eingeben.,yes
255,de,Netzwerk & Konnektivität,Wie aktiviere ich Flugmodus auf FuriOS?,"Flugmodus, Flugmodus, Mobilfunk deaktivieren",Gehen Sie zu Einstellungen > WLAN und schalten Sie Flugmodus ein. Dies deaktiviert Mobilfunk. Sie können auch auf Flugmodus in den Quick Settings zugreifen indem Sie von oben des Bildschirms nach unten wischen.,yes
256,de,Netzwerk & Konnektivität,Wie zeige ich WLAN-Netzwerkdetails auf FuriOS an?,"WLAN-Details, Netzwerkinfo, WLAN-Informationen, IP-Adresse","Gehen Sie zu Einstellungen > WLAN und tippen Sie auf ein verbundenes Netzwerk. Der Reiter Details zeigt: Signalstärke, Sicherheitstyp, IPv4-Adresse, IPv6-Adresse, Hardware-Adresse (MAC), unterstützte Frequenzen (2,4 GHz/5 GHz), Standardroute und DNS.",yes
257,de,Netzwerk & Konnektivität,Wie finde ich meine IP-Adresse auf FuriOS?,"IP-Adresse, IPv4, IPv6, Netzwerkadresse","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf Ihr verbundenes Netzwerk und zeigen Sie den Reiter Details an. Ihre IPv4-Adresse und IPv6-Adresse werden dort zusammen mit den DNS-Einstellungen angezeigt.",yes
258,de,Netzwerk & Konnektivität,Wie finde ich meine MAC-Adresse auf FuriOS?,"MAC-Adresse, Hardware-Adresse, WLAN-MAC","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf Ihr verbundenes Netzwerk und zeigen Sie den Reiter Details an. Ihre Hardware-Adresse (MAC-Adresse) wird dort angezeigt.",yes
259,de,Netzwerk & Konnektivität,Wie stelle ich eine WLAN-Verbindung so ein dass das Handy sich automatisch mit dem WLAN-Router verbindet?,"Auto-Connect WLAN, automatisches WLAN, automatisch verbinden","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf Ihr verbundenes Netzwerk und aktivieren Sie im Reiter Details das Kontrollkästchen Automatisch verbinden. Das Gerät verbindet sich automatisch mit diesem Netzwerk wenn es in Reichweite ist.",yes
260,de,Netzwerk & Konnektivität,Wie teile ich eine WLAN-Verbindung mit anderen Benutzern auf FuriOS?,"WLAN teilen, WLAN andere Benutzer, Multi-Benutzer-WLAN","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk und aktivieren Sie im Reiter Details Für andere Benutzer verfügbar machen. Dies ermöglicht anderen Benutzerkonten auf dem Gerät die Verwendung dieser gespeicherten Verbindung.",yes
261,de,Netzwerk & Konnektivität,Wie stelle ich ein WLAN-Netzwerk als getaktet auf FuriOS ein?,"getaktete Verbindung, Datenlimit, getaktetes WLAN","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk und aktivieren Sie im Reiter Details Getaktete Verbindung. Dies gibt an dass die Verbindung Datengrenzen hat oder Gebühren entstehen können. Software-Updates und große Downloads starten nicht automatisch auf getakteten Verbindungen.",yes
262,de,Netzwerk & Konnektivität,Wie zeige ich WLAN-Identitätseinstellungen an oder ändere sie?,"WLAN-Identität, BSSID, geklonte MAC, MAC-Adressrandomisierung","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk und wählen Sie den Reiter Identität. Hier können Sie anzeigen und konfigurieren: BSSID, MAC-Adresse und Geklonte Adresse Einstellungen.",yes
263,de,Einstellungen,Wie konfiguriere ich eine statische IP-Adresse auf WLAN?,"statische IP, manuelle IP, feste IP-Adresse, DHCP aus","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk, wählen Sie den Reiter IPv4 und ändern Sie IPv4-Methode von Automatisch (DHCP) auf Manuell. Geben Sie dann Ihre gewünschte Adresse, Netzmaske, DNS und Routen ein.",yes
264,de,Allgemein,Welche IPv4-Methoden sind auf WLAN auf FuriOS verfügbar?,"IPv4-Methoden, DHCP, manuelle IP, geteilt","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk und wählen Sie den Reiter IPv4. Verfügbare Methoden sind: Automatisch (DHCP) - erhält IP automatisch, Manuell - statische IP einstellen und Für andere Computer geteilt - Verbindung teilen.",yes
265,de,Einstellungen,Wie stelle ich benutzerdefinierte DNS-Server für WLAN ein?,"benutzerdefiniertes DNS, DNS ändern, DNS-Einstellungen","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk und wählen Sie den Reiter IPv4 oder IPv6. Geben Sie im DNS-Feld Ihre bevorzugten DNS-Serveradressen ein. Trennen Sie mehrere IP-Adressen mit Kommas.",yes
266,de,Einstellungen,Wie konfiguriere ich IPv6-Einstellungen auf WLAN?,"IPv6-Einstellungen, IPv6 konfigurieren, IPv6 manuell","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk und wählen Sie den Reiter IPv6. Wählen Sie Ihre Methode: Automatisch, Automatisch, DHCP, Nur Lokal-Link, Manuell, Für andere Geräte geteilt oder Deaktivieren.",yes
267,de,Allgemein,Welche IPv6-Methoden sind auf WLAN auf FuriOS verfügbar?,"IPv6-Methoden, IPv6-Optionen, IPv6-Modi","Gehen Sie zu Einstellungen > WLAN > [Netzwerk] > IPv6. Methoden umfassen: Automatisch, Automatisch, DHCP, Nur Lokal-Link, Manuell (Adresse, Präfix, Gateway eingeben), Für andere Geräte geteilt und Deaktivieren (IPv6 ausschalten).",yes
268,de,Allgemein,Wie deaktiviere ich IPv6 auf FuriOS?,"IPv6 deaktivieren, IPv6 ausschalten, IPv6 aus","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf ein Netzwerk, wählen Sie den Reiter IPv6 und stellen Sie IPv6-Methode auf Deaktivieren. Tippen Sie auf Anwenden um die Änderungen zu speichern.",yes
